Name,Term Type,Party,Start Date,End Date,State,District,Office Address,Phone
Robert B. Aderholt,rep,Republican,2023-01-03,2025-01-03,AL,4,266 Cannon House Office Building Washington DC 20515-0104,202-225-4876
Gus M. Bilirakis,rep,Republican,2023-01-03,2025-01-03,FL,12,2306 Rayburn House Office Building Washington DC 20515-0912,202-225-5755
"Sanford D. Bishop, Jr.",rep,Democrat,2023-01-03,2025-01-03,GA,2,2407 Rayburn House Office Building Washington DC 20515-1002,202-225-3631
Earl Blumenauer,rep,Democrat,2023-01-03,2025-01-03,OR,3,1111 Longworth House Office Building Washington DC 20515-3703,202-225-4811
Vern Buchanan,rep,Republican,2023-01-03,2025-01-03,FL,16,2110 Rayburn House Office Building Washington DC 20515-0916,202-225-5015
Larry Bucshon,rep,Republican,2023-01-03,2025-01-03,IN,8,2313 Rayburn House Office Building Washington DC 20515-1408,202-225-4636
Michael C. Burgess,rep,Republican,2023-01-03,2025-01-03,TX,26,2161 Rayburn House Office Building Washington DC 20515-4326,202-225-7772
Ken Calvert,rep,Republican,2023-01-03,2025-01-03,CA,41,2205 Rayburn House Office Building Washington DC 20515-0541,202-225-1986
André Carson,rep,Democrat,2023-01-03,2025-01-03,IN,7,2135 Rayburn House Office Building Washington DC 20515-1407,202-225-4011
John R. Carter,rep,Republican,2023-01-03,2025-01-03,TX,31,2208 Rayburn House Office Building Washington DC 20515-4331,202-225-3864
Kathy Castor,rep,Democrat,2023-01-03,2025-01-03,FL,14,2052 Rayburn House Office Building Washington DC 20515-0914,202-225-3376
Judy Chu,rep,Democrat,2023-01-03,2025-01-03,CA,28,2423 Rayburn House Office Building Washington DC 20515-0528,202-225-5464
Yvette D. Clarke,rep,Democrat,2023-01-03,2025-01-03,NY,9,2058 Rayburn House Office Building Washington DC 20515-3209,202-225-6231
Emanuel Cleaver,rep,Democrat,2023-01-03,2025-01-03,MO,5,2217 Rayburn House Office Building Washington DC 20515-2505,202-225-4535
James E. Clyburn,rep,Democrat,2023-01-03,2025-01-03,SC,6,274 Cannon House Office Building Washington DC 20515-4006,202-225-3315
Steve Cohen,rep,Democrat,2023-01-03,2025-01-03,TN,9,2268 Rayburn House Office Building Washington DC 20515-4209,202-225-3265
Tom Cole,rep,Republican,2023-01-03,2025-01-03,OK,4,2207 Rayburn House Office Building Washington DC 20515-3604,202-225-6165
Gerald E. Connolly,rep,Democrat,2023-01-03,2025-01-03,VA,11,2265 Rayburn House Office Building Washington DC 20515-4611,202-225-1492
Jim Costa,rep,Democrat,2023-01-03,2025-01-03,CA,21,2081 Rayburn House Office Building Washington DC 20515-0521,202-225-3341
Joe Courtney,rep,Democrat,2023-01-03,2025-01-03,CT,2,2449 Rayburn House Office Building Washington DC 20515-0702,202-225-2076
"Eric A. ""Rick"" Crawford",rep,Republican,2023-01-03,2025-01-03,AR,1,2422 Rayburn House Office Building Washington DC 20515-0401,202-225-4076
Henry Cuellar,rep,Democrat,2023-01-03,2025-01-03,TX,28,2372 Rayburn House Office Building Washington DC 20515-4328,202-225-1640
Danny K. Davis,rep,Democrat,2023-01-03,2025-01-03,IL,7,2159 Rayburn House Office Building Washington DC 20515-1307,202-225-5006
Diana DeGette,rep,Democrat,2023-01-03,2025-01-03,CO,1,2111 Rayburn House Office Building Washington DC 20515-0601,202-225-4431
Rosa L. DeLauro,rep,Democrat,2023-01-03,2025-01-03,CT,3,2413 Rayburn House Office Building Washington DC 20515-0703,202-225-3661
Scott DesJarlais,rep,Republican,2023-01-03,2025-01-03,TN,4,2304 Rayburn House Office Building Washington DC 20515-4204,202-225-6831
Mario Diaz-Balart,rep,Republican,2023-01-03,2025-01-03,FL,26,374 Cannon House Office Building Washington DC 20515-0926,202-225-4211
Lloyd Doggett,rep,Democrat,2023-01-03,2025-01-03,TX,37,2307 Rayburn House Office Building Washington DC 20515-0001,202-225-4865
Jeff Duncan,rep,Republican,2023-01-03,2025-01-03,SC,3,2229 Rayburn House Office Building Washington DC 20515-4003,202-225-5301
Anna G. Eshoo,rep,Democrat,2023-01-03,2025-01-03,CA,16,272 Cannon House Office Building Washington DC 20515-0516,202-225-8104
"Charles J. ""Chuck"" Fleischmann",rep,Republican,2023-01-03,2025-01-03,TN,3,2187 Rayburn House Office Building Washington DC 20515-4203,202-225-3271
Virginia Foxx,rep,Republican,2023-01-03,2025-01-03,NC,5,2462 Rayburn House Office Building Washington DC 20515-3305,202-225-2071
John Garamendi,rep,Democrat,2023-01-03,2025-01-03,CA,8,2004 Rayburn House Office Building Washington DC 20515-0508,202-225-1880
Paul A. Gosar,rep,Republican,2023-01-03,2025-01-03,AZ,9,2057 Rayburn House Office Building Washington DC 20515-0309,202-225-2315
Kay Granger,rep,Republican,2023-01-03,2025-01-03,TX,12,2308 Rayburn House Office Building Washington DC 20515-4312,202-225-5071
Sam Graves,rep,Republican,2023-01-03,2025-01-03,MO,6,1135 Longworth House Office Building Washington DC 20515-2506,202-225-7041
Al Green,rep,Democrat,2023-01-03,2025-01-03,TX,9,2347 Rayburn House Office Building Washington DC 20515-4309,202-225-7508
H. Morgan Griffith,rep,Republican,2023-01-03,2025-01-03,VA,9,2202 Rayburn House Office Building Washington DC 20515-4609,202-225-3861
Raúl M. Grijalva,rep,Democrat,2023-01-03,2025-01-03,AZ,7,1203 Longworth House Office Building Washington DC 20515-0307,202-225-2435
Brett Guthrie,rep,Republican,2023-01-03,2025-01-03,KY,2,2434 Rayburn House Office Building Washington DC 20515-1702,202-225-3501
Andy Harris,rep,Republican,2023-01-03,2025-01-03,MD,1,1536 Longworth House Office Building Washington DC 20515-2001,202-225-5311
James A. Himes,rep,Democrat,2023-01-03,2025-01-03,CT,4,2137 Rayburn House Office Building Washington DC 20515-0704,202-225-5541
Steny H. Hoyer,rep,Democrat,2023-01-03,2025-01-03,MD,5,1705 Longworth House Office Building Washington DC 20515-2005,202-225-4131
Bill Huizenga,rep,Republican,2023-01-03,2025-01-03,MI,4,2232 Rayburn House Office Building Washington DC 20515-2204,202-225-4401
"Henry C. ""Hank"" Johnson, Jr.",rep,Democrat,2023-01-03,2025-01-03,GA,4,2240 Rayburn House Office Building Washington DC 20515-1004,202-225-1605
Jim Jordan,rep,Republican,2023-01-03,2025-01-03,OH,4,2056 Rayburn House Office Building Washington DC 20515-3504,202-225-2676
Marcy Kaptur,rep,Democrat,2023-01-03,2025-01-03,OH,9,2186 Rayburn House Office Building Washington DC 20515-3509,202-225-4146
William R. Keating,rep,Democrat,2023-01-03,2025-01-03,MA,9,2351 Rayburn House Office Building Washington DC 20515-2109,202-225-3111
Mike Kelly,rep,Republican,2023-01-03,2025-01-03,PA,16,1707 Longworth House Office Building Washington DC 20515-3816,202-225-5406
Doug Lamborn,rep,Republican,2023-01-03,2025-01-03,CO,5,2371 Rayburn House Office Building Washington DC 20515-0605,202-225-4422
Rick Larsen,rep,Democrat,2023-01-03,2025-01-03,WA,2,2163 Rayburn House Office Building Washington DC 20515-4702,202-225-2605
John B. Larson,rep,Democrat,2023-01-03,2025-01-03,CT,1,1501 Longworth House Office Building Washington DC 20515-0701,202-225-2265
Robert E. Latta,rep,Republican,2023-01-03,2025-01-03,OH,5,2467 Rayburn House Office Building Washington DC 20515-3505,202-225-6405
Barbara Lee,rep,Democrat,2023-01-03,2025-01-03,CA,12,2470 Rayburn House Office Building Washington DC 20515-0512,202-225-2661
Zoe Lofgren,rep,Democrat,2023-01-03,2025-01-03,CA,18,1401 Longworth House Office Building Washington DC 20515-0518,202-225-3072
Frank D. Lucas,rep,Republican,2023-01-03,2025-01-03,OK,3,2405 Rayburn House Office Building Washington DC 20515-3603,202-225-5565
Blaine Luetkemeyer,rep,Republican,2023-01-03,2025-01-03,MO,3,2230 Rayburn House Office Building Washington DC 20515-2503,202-225-2956
Stephen F. Lynch,rep,Democrat,2023-01-03,2025-01-03,MA,8,2109 Rayburn House Office Building Washington DC 20515-2108,202-225-8273
Doris O. Matsui,rep,Democrat,2023-01-03,2025-01-03,CA,7,2311 Rayburn House Office Building Washington DC 20515-0507,202-225-7163
Michael T. McCaul,rep,Republican,2023-01-03,2025-01-03,TX,10,2300 Rayburn House Office Building Washington DC 20515-4310,202-225-2401
Tom McClintock,rep,Republican,2023-01-03,2025-01-03,CA,5,2256 Rayburn House Office Building Washington DC 20515-0505,202-225-2511
Betty McCollum,rep,Democrat,2023-01-03,2025-01-03,MN,4,2426 Rayburn House Office Building Washington DC 20515-2304,202-225-6631
James P. McGovern,rep,Democrat,2023-01-03,2025-01-03,MA,2,370 Cannon House Office Building Washington DC 20515-2102,202-225-6101
Patrick T. McHenry,rep,Republican,2023-01-03,2025-01-03,NC,10,2134 Rayburn House Office Building Washington DC 20515-3310,202-225-2576
Cathy McMorris Rodgers,rep,Republican,2023-01-03,2025-01-03,WA,5,2188 Rayburn House Office Building Washington DC 20515-4705,202-225-2006
Gregory W. Meeks,rep,Democrat,2023-01-03,2025-01-03,NY,5,2310 Rayburn House Office Building Washington DC 20515-3205,202-225-3461
Gwen Moore,rep,Democrat,2023-01-03,2025-01-03,WI,4,2252 Rayburn House Office Building Washington DC 20515-4904,202-225-4572
Jerrold Nadler,rep,Democrat,2023-01-03,2025-01-03,NY,12,2132 Rayburn House Office Building Washington DC 20515-3212,202-225-5635
Grace F. Napolitano,rep,Democrat,2023-01-03,2025-01-03,CA,31,1610 Longworth House Office Building Washington DC 20515-0531,202-225-5256
Richard E. Neal,rep,Democrat,2023-01-03,2025-01-03,MA,1,372 Cannon House Office Building Washington DC 20515-2101,202-225-5601
"Frank Pallone, Jr.",rep,Democrat,2023-01-03,2025-01-03,NJ,6,2107 Rayburn House Office Building Washington DC 20515-3006,202-225-4671
Nancy Pelosi,rep,Democrat,2023-01-03,2025-01-03,CA,11,1236 Longworth House Office Building Washington DC 20515-0511,202-225-4965
Chellie Pingree,rep,Democrat,2023-01-03,2025-01-03,ME,1,2354 Rayburn House Office Building Washington DC 20515-1901,202-225-6116
Bill Posey,rep,Republican,2023-01-03,2025-01-03,FL,8,2150 Rayburn House Office Building Washington DC 20515-0908,202-225-3671
Mike Quigley,rep,Democrat,2023-01-03,2025-01-03,IL,5,2083 Rayburn House Office Building Washington DC 20515-1305,202-225-4061
Harold Rogers,rep,Republican,2023-01-03,2025-01-03,KY,5,2406 Rayburn House Office Building Washington DC 20515-1705,202-225-4601
Mike Rogers,rep,Republican,2023-01-03,2025-01-03,AL,3,2469 Rayburn House Office Building Washington DC 20515-0103,202-225-3261
C. A. Dutch Ruppersberger,rep,Democrat,2023-01-03,2025-01-03,MD,2,2206 Rayburn House Office Building Washington DC 20515-2002,202-225-3061
John P. Sarbanes,rep,Democrat,2023-01-03,2025-01-03,MD,3,2370 Rayburn House Office Building Washington DC 20515-2003,202-225-4016
Steve Scalise,rep,Republican,2023-01-03,2025-01-03,LA,1,2049 Rayburn House Office Building Washington DC 20515-1801,202-225-3015
Janice D. Schakowsky,rep,Democrat,2023-01-03,2025-01-03,IL,9,2408 Rayburn House Office Building Washington DC 20515-1309,202-225-2111
Adam B. Schiff,rep,Democrat,2023-01-03,2025-01-03,CA,30,2309 Rayburn House Office Building Washington DC 20515-0530,202-225-4176
David Schweikert,rep,Republican,2023-01-03,2025-01-03,AZ,1,460 Cannon House Office Building Washington DC 20515-0301,202-225-2190
Austin Scott,rep,Republican,2023-01-03,2025-01-03,GA,8,2185 Rayburn House Office Building Washington DC 20515-1008,202-225-6531
David Scott,rep,Democrat,2023-01-03,2025-01-03,GA,13,468 Cannon House Office Building Washington DC 20515-1013,202-225-2939
"Robert C. ""Bobby"" Scott",rep,Democrat,2023-01-03,2025-01-03,VA,3,2328 Rayburn House Office Building Washington DC 20515-4603,202-225-8351
Terri A. Sewell,rep,Democrat,2023-01-03,2025-01-03,AL,7,1035 Longworth House Office Building Washington DC 20515-0107,202-225-2665
Brad Sherman,rep,Democrat,2023-01-03,2025-01-03,CA,32,2365 Rayburn House Office Building Washington DC 20515-0532,202-225-5911
Michael K. Simpson,rep,Republican,2023-01-03,2025-01-03,ID,2,2084 Rayburn House Office Building Washington DC 20515-1202,202-225-5531
Adam Smith,rep,Democrat,2023-01-03,2025-01-03,WA,9,2264 Rayburn House Office Building Washington DC 20515-4709,202-225-8901
Adrian Smith,rep,Republican,2023-01-03,2025-01-03,NE,3,502 Cannon House Office Building Washington DC 20515-2703,202-225-6435
Christopher H. Smith,rep,Republican,2023-01-03,2025-01-03,NJ,4,2373 Rayburn House Office Building Washington DC 20515-3004,202-225-3765
Linda T. Sánchez,rep,Democrat,2023-01-03,2025-01-03,CA,38,2428 Rayburn House Office Building Washington DC 20515-0538,202-225-6676
Bennie G. Thompson,rep,Democrat,2023-01-03,2025-01-03,MS,2,2466 Rayburn House Office Building Washington DC 20515-2402,202-225-5876
Mike Thompson,rep,Democrat,2023-01-03,2025-01-03,CA,4,268 Cannon House Office Building Washington DC 20515-0504,202-225-3311
Glenn Thompson,rep,Republican,2023-01-03,2025-01-03,PA,15,400 Cannon House Office Building Washington DC 20515-3815,202-225-5121
Paul Tonko,rep,Democrat,2023-01-03,2025-01-03,NY,20,2369 Rayburn House Office Building Washington DC 20515-3220,202-225-5076
Michael R. Turner,rep,Republican,2023-01-03,2025-01-03,OH,10,2183 Rayburn House Office Building Washington DC 20515-3510,202-225-6465
Nydia M. Velázquez,rep,Democrat,2023-01-03,2025-01-03,NY,7,2302 Rayburn House Office Building Washington DC 20515-3207,202-225-2361
Tim Walberg,rep,Republican,2023-01-03,2025-01-03,MI,5,2266 Rayburn House Office Building Washington DC 20515-2205,202-225-6276
Debbie Wasserman Schultz,rep,Democrat,2023-01-03,2025-01-03,FL,25,270 Cannon House Office Building Washington DC 20515-0925,202-225-7931
Maxine Waters,rep,Democrat,2023-01-03,2025-01-03,CA,43,2221 Rayburn House Office Building Washington DC 20515-0543,202-225-2201
Daniel Webster,rep,Republican,2023-01-03,2025-01-03,FL,11,2184 Rayburn House Office Building Washington DC 20515-0911,202-225-1002
Joe Wilson,rep,Republican,2023-01-03,2025-01-03,SC,2,1436 Longworth House Office Building Washington DC 20515-4002,202-225-2452
Frederica S. Wilson,rep,Democrat,2023-01-03,2025-01-03,FL,24,2080 Rayburn House Office Building Washington DC 20515-0924,202-225-4506
Robert J. Wittman,rep,Republican,2023-01-03,2025-01-03,VA,1,2055 Rayburn House Office Building Washington DC 20515-4601,202-225-4261
Steve Womack,rep,Republican,2023-01-03,2025-01-03,AR,3,2412 Rayburn House Office Building Washington DC 20515-0403,202-225-4301
Mark E. Amodei,rep,Republican,2023-01-03,2025-01-03,NV,2,104 Cannon House Office Building Washington DC 20515-2802,202-225-6155
Suzanne Bonamici,rep,Democrat,2023-01-03,2025-01-03,OR,1,2231 Rayburn House Office Building Washington DC 20515-3701,202-225-0855
Suzan K. DelBene,rep,Democrat,2023-01-03,2025-01-03,WA,1,2330 Rayburn House Office Building Washington DC 20515-4701,202-225-6311
Thomas Massie,rep,Republican,2023-01-03,2025-01-03,KY,4,2453 Rayburn House Office Building Washington DC 20515-1704,202-225-3465
Bill Foster,rep,Democrat,2023-01-03,2025-01-03,IL,11,2366 Rayburn House Office Building Washington DC 20515-1311,202-225-3515
Dina Titus,rep,Democrat,2023-01-03,2025-01-03,NV,1,2464 Rayburn House Office Building Washington DC 20515-2801,202-225-5965
Doug LaMalfa,rep,Republican,2023-01-03,2025-01-03,CA,1,408 Cannon House Office Building Washington DC 20515-0501,202-225-3076
Jared Huffman,rep,Democrat,2023-01-03,2025-01-03,CA,2,2445 Rayburn House Office Building Washington DC 20515-0502,202-225-5161
Ami Bera,rep,Democrat,2023-01-03,2025-01-03,CA,6,172 Cannon House Office Building Washington DC 20515-0506,202-225-5716
Eric Swalwell,rep,Democrat,2023-01-03,2025-01-03,CA,14,174 Cannon House Office Building Washington DC 20515-0514,202-225-5065
Julia Brownley,rep,Democrat,2023-01-03,2025-01-03,CA,26,2262 Rayburn House Office Building Washington DC 20515-0526,202-225-5811
Tony Cárdenas,rep,Democrat,2023-01-03,2025-01-03,CA,29,2181 Rayburn House Office Building Washington DC 20515-0529,202-225-6131
Raul Ruiz,rep,Democrat,2023-01-03,2025-01-03,CA,25,2342 Rayburn House Office Building Washington DC 20515-0525,202-225-5330
Mark Takano,rep,Democrat,2023-01-03,2025-01-03,CA,39,2078 Rayburn House Office Building Washington DC 20515-0539,202-225-2305
Juan Vargas,rep,Democrat,2023-01-03,2025-01-03,CA,52,2334 Rayburn House Office Building Washington DC 20515-0552,202-225-8045
Scott H. Peters,rep,Democrat,2023-01-03,2025-01-03,CA,50,1201 Longworth House Office Building Washington DC 20515-0550,202-225-0508
Lois Frankel,rep,Democrat,2023-01-03,2025-01-03,FL,22,2305 Rayburn House Office Building Washington DC 20515-0922,202-225-9890
Andy Barr,rep,Republican,2023-01-03,2025-01-03,KY,6,2430 Rayburn House Office Building Washington DC 20515-1706,202-225-4706
Daniel T. Kildee,rep,Democrat,2023-01-03,2025-01-03,MI,8,200 Cannon House Office Building Washington DC 20515-2208,202-225-3611
Ann Wagner,rep,Republican,2023-01-03,2025-01-03,MO,2,2350 Rayburn House Office Building Washington DC 20515-2502,202-225-1621
Richard Hudson,rep,Republican,2023-01-03,2025-01-03,NC,9,2112 Rayburn House Office Building Washington DC 20515-3309,202-225-3715
Ann M. Kuster,rep,Democrat,2023-01-03,2025-01-03,NH,2,2201 Rayburn House Office Building Washington DC 20515-2902,202-225-5206
Grace Meng,rep,Democrat,2023-01-03,2025-01-03,NY,6,2209 Rayburn House Office Building Washington DC 20515-3206,202-225-2601
Hakeem S. Jeffries,rep,Democrat,2023-01-03,2025-01-03,NY,8,2433 Rayburn House Office Building Washington DC 20515-3208,202-225-5936
Brad R. Wenstrup,rep,Republican,2023-01-03,2025-01-03,OH,2,2335 Rayburn House Office Building Washington DC 20515-3502,202-225-3164
Joyce Beatty,rep,Democrat,2023-01-03,2025-01-03,OH,3,2079 Rayburn House Office Building Washington DC 20515-3503,202-225-4324
David P. Joyce,rep,Republican,2023-01-03,2025-01-03,OH,14,2065 Rayburn House Office Building Washington DC 20515-3514,202-225-5731
Scott Perry,rep,Republican,2023-01-03,2025-01-03,PA,10,2160 Rayburn House Office Building Washington DC 20515-3810,202-225-5836
Matt Cartwright,rep,Democrat,2023-01-03,2025-01-03,PA,8,2102 Rayburn House Office Building Washington DC 20515-3808,202-225-5546
"Randy K. Weber, Sr.",rep,Republican,2023-01-03,2025-01-03,TX,14,107 Cannon House Office Building Washington DC 20515-4314,202-225-2831
Joaquin Castro,rep,Democrat,2023-01-03,2025-01-03,TX,20,2241 Rayburn House Office Building Washington DC 20515-4320,202-225-3236
Roger Williams,rep,Republican,2023-01-03,2025-01-03,TX,25,2336 Rayburn House Office Building Washington DC 20515-4325,202-225-9896
Marc A. Veasey,rep,Democrat,2023-01-03,2025-01-03,TX,33,2348 Rayburn House Office Building Washington DC 20515-4333,202-225-9897
Derek Kilmer,rep,Democrat,2023-01-03,2025-01-03,WA,6,1226 Longworth House Office Building Washington DC 20515-4706,202-225-5916
Mark Pocan,rep,Democrat,2023-01-03,2025-01-03,WI,2,1026 Longworth House Office Building Washington DC 20515-4902,202-225-2906
Robin L. Kelly,rep,Democrat,2023-01-03,2025-01-03,IL,2,2329 Rayburn House Office Building Washington DC 20515-1302,202-225-0773
Jason Smith,rep,Republican,2023-01-03,2025-01-03,MO,8,1011 Longworth House Office Building Washington DC 20515-2508,202-225-4404
Katherine M. Clark,rep,Democrat,2023-01-03,2025-01-03,MA,5,2368 Rayburn House Office Building Washington DC 20515-2105,202-225-2836
