,Bill Number,First Name,Last Name,Party,State,Vote Cast
331,H.R. 3935,Deb,Fischer,R,NE,Yea
332,H.R. 3935,Kirsten,Gillibrand,D,NY,Yea
333,H.R. 3935,Lindsey,Graham,R,SC,Yea
334,H.R. 3935,Chuck,Grassley,R,IA,Yea
335,H.R. 3935,Bill,Hagerty,R,TN,Not Voting
336,H.R. 3935,Maggie,Hassan,D,NH,Yea
337,H.R. 3935,Josh,Hawley,R,MO,Yea
338,H.R. 3935,Martin,Heinrich,D,NM,Yea
339,H.R. 3935,John,Hickenlooper,D,CO,Yea
340,H.R. 3935,Mazie,Hirono,D,HI,Yea
341,H.R. 3935,John,Hoeven,R,ND,Yea
342,H.R. 3935,Cindy,Hyde-Smith,R,MS,Yea
343,H.R. 3935,Ron,Johnson,R,WI,Yea
344,H.R. 3935,Timothy,Kaine,D,VA,Nay
345,H.R. 3935,Mark,Kelly,D,AZ,Yea
346,H.R. 3935,John,Kennedy,R,LA,Yea
347,H.R. 3935,Angus,King,I,ME,Yea
348,H.R. 3935,Amy,Klobuchar,D,MN,Yea
349,H.R. 3935,James,Lankford,R,OK,Yea
350,H.R. 3935,Mike,Lee,R,UT,Yea
351,H.R. 3935,Ben,Lujan,D,NM,Yea
352,H.R. 3935,Cynthia,Lummis,R,WY,Yea
353,H.R. 3935,Joseph,Manchin,D,WV,Not Voting
354,H.R. 3935,Edward,Markey,D,MA,Yea
355,H.R. 3935,Roger,Marshall,R,KS,Yea
356,H.R. 3935,Mitch,McConnell,R,KY,Yea
357,H.R. 3935,Robert,Menendez,D,NJ,Not Voting
358,H.R. 3935,Jeff,Merkley,D,OR,Yea
359,H.R. 3935,Jerry,Moran,R,KS,Yea
360,H.R. 3935,Markwayne,Mullin,R,OK,Yea
361,H.R. 3935,Lisa,Murkowski,R,AK,Yea
362,H.R. 3935,Christopher,Murphy,D,CT,Yea
363,H.R. 3935,Patty,Murray,D,WA,Yea
364,H.R. 3935,Jon,Ossoff,D,GA,Yea
365,H.R. 3935,Alex,Padilla,D,CA,Yea
366,H.R. 3935,Rand,Paul,R,KY,Yea
367,H.R. 3935,Gary,Peters,D,MI,Yea
368,H.R. 3935,John,Reed,D,RI,Yea
369,H.R. 3935,Pete,Ricketts,R,NE,Yea
370,H.R. 3935,James ,Risch,R,ID,Yea
371,H.R. 3935,Mitt,Romney,R,UT,Not Voting
372,H.R. 3935,Jacklyn,Rosen,D,NV,Yea
373,H.R. 3935,Mike,Rounds,R,SD,Yea
374,H.R. 3935,Marco,Rubio,R,FL,Yea
375,H.R. 3935,Bernard,Sanders,I,VT,Yea
376,H.R. 3935,Brian,Schatz,D,HI,Yea
377,H.R. 3935,Eric ,Schmitt,R,MO,Yea
378,H.R. 3935,Charles,Schumer,D,NY,Yea
379,H.R. 3935,Rick,Scott,R,FL,Yea
380,H.R. 3935,Tim,Scott,R,SC,Yea
381,H.R. 3935,Jeanne,Shaheen,D,NH,Yea
382,H.R. 3935,Kyrsten,Sinema,I,AZ,Not Voting
383,H.R. 3935,Tina,Smith,D,MN,Yea
384,H.R. 3935,Debbie,Stabenow,D,MI,Yea
385,H.R. 3935,Dan,Sullivan,R,AK,Yea
386,H.R. 3935,Jon,Tester,D,MT,Yea
387,H.R. 3935,John,Thune,R,SD,Yea
388,H.R. 3935,Thomas,Tillis,R,NC,Yea
389,H.R. 3935,Tommy,Tuberville,R,AL,Yea
390,H.R. 3935,Chris,Van Hollen,D,MD,Nay
391,H.R. 3935,J.,Vance,R,OH,Yea
392,H.R. 3935,Mark,Warner,D,VA,Nay
393,H.R. 3935,Raphael,Warnock,D,GA,Yea
394,H.R. 3935,Elizabeth,Warren,D,MA,Yea
395,H.R. 3935,Peter,Welch,D,VT,Yea
396,H.R. 3935,Sheldon,Whitehouse,D,RI,Yea
397,H.R. 3935,Roger,Wicker,R,MS,Yea
398,H.R. 3935,Ron,Wyden,D,OR,Yea
399,H.R. 3935,Todd,Young,R,IN,Yea
400,H.R. 3935,Tammy,Baldwin,D,WI,Yea
401,H.R. 3935,John,Barrasso,R,WY,Yea
402,H.R. 3935,Michael,Bennet,D,CO,Yea
403,H.R. 3935,Marsha,Blackburn,R,TN,Yea
404,H.R. 3935,Richard,Blumenthal,D,CT,Yea
405,H.R. 3935,Cory,Booker,D,NJ,Yea
406,H.R. 3935,John,Boozman,R,AR,Yea
407,H.R. 3935,Mike,Braun,R,IN,Not Voting
408,H.R. 3935,Katie,Britt,R,AL,Yea
409,H.R. 3935,Sherrod ,Brown,D,OH,Yea
410,H.R. 3935,Ted,Budd,R,NC,Yea
411,H.R. 3935,Laphonza,Butler,D,CA,Yea
412,H.R. 3935,Maria,Cantwell,D,WA,Yea
413,H.R. 3935,Shelley,Capito,R,WV,Yea
414,H.R. 3935,Ben,Cardin,D,MD,Nay
415,H.R. 3935,Thomas,Carper,D,DE,Yea
416,H.R. 3935,Bob,Casey,D,PA,Yea
417,H.R. 3935,Bill,Cassidy,R,LA,Nay
418,H.R. 3935,Susan,Collins,R,ME,Yea
419,H.R. 3935,Christopher,Coons,D,DE,Yea
420,H.R. 3935,John,Cornyn,R,TX,Yea
421,H.R. 3935,Catherine,Cortez Masto,D,NV,Yea
422,H.R. 3935,Tom,Cotton,R,AR,Yea
423,H.R. 3935,Kevin,Cramer,R,ND,Yea
424,H.R. 3935,Mike,Crapo,R,ID,Yea
425,H.R. 3935,Ted,Cruz,R,TX,Yea
426,H.R. 3935,Steve,Daines,R,MT,Nay
427,H.R. 3935,Tammy,Duckworth,D,IL,Yea
428,H.R. 3935,Richard,Durbin,D,IL,Yea
429,H.R. 3935,Joni,Ernst,R,IA,Nay
430,H.R. 3935,John,Fetterman,D,PA,Yea
431,H.R. 3935,Deb,Fischer,R,NE,Yea
432,H.R. 3935,Kirsten,Gillibrand,D,NY,Yea
433,H.R. 3935,Lindsey,Graham,R,SC,Yea
434,H.R. 3935,Chuck,Grassley,R,IA,Yea
435,H.R. 3935,Bill,Hagerty,R,TN,Yea
436,H.R. 3935,Maggie,Hassan,D,NH,Yea
437,H.R. 3935,Josh,Hawley,R,MO,Nay
438,H.R. 3935,Martin,Heinrich,D,NM,Yea
439,H.R. 3935,John,Hickenlooper,D,CO,Yea
440,H.R. 3935,Mazie,Hirono,D,HI,Yea
441,H.R. 3935,John,Hoeven,R,ND,Yea
442,H.R. 3935,Cindy,Hyde-Smith,R,MS,Yea
443,H.R. 3935,Ron,Johnson,R,WI,Nay
444,H.R. 3935,Timothy,Kaine,D,VA,Nay
445,H.R. 3935,Mark,Kelly,D,AZ,Yea
446,H.R. 3935,John,Kennedy,R,LA,Yea
447,H.R. 3935,Angus,King,I,ME,Yea
448,H.R. 3935,Amy,Klobuchar,D,MN,Yea
449,H.R. 3935,James,Lankford,R,OK,Yea
450,H.R. 3935,Mike,Lee,R,UT,Nay
451,H.R. 3935,Ben,Lujan,D,NM,Yea
452,H.R. 3935,Cynthia,Lummis,R,WY,Yea
453,H.R. 3935,Joseph,Manchin,D,WV,Yea
454,H.R. 3935,Edward,Markey,D,MA,Yea
455,H.R. 3935,Roger,Marshall,R,KS,Yea
456,H.R. 3935,Mitch,McConnell,R,KY,Yea
457,H.R. 3935,Robert,Menendez,D,NJ,Yea
458,H.R. 3935,Jeff,Merkley,D,OR,Nay
459,H.R. 3935,Jerry,Moran,R,KS,Yea
460,H.R. 3935,Markwayne,Mullin,R,OK,Yea
461,H.R. 3935,Lisa,Murkowski,R,AK,Yea
462,H.R. 3935,Christopher,Murphy,D,CT,Yea
463,H.R. 3935,Patty,Murray,D,WA,Yea
464,H.R. 3935,Jon,Ossoff,D,GA,Yea
465,H.R. 3935,Alex,Padilla,D,CA,Yea
466,H.R. 3935,Rand,Paul,R,KY,Yea
467,H.R. 3935,Gary,Peters,D,MI,Yea
468,H.R. 3935,John,Reed,D,RI,Yea
469,H.R. 3935,Pete,Ricketts,R,NE,Yea
470,H.R. 3935,James ,Risch,R,ID,Yea
471,H.R. 3935,Mitt,Romney,R,UT,Yea
472,H.R. 3935,Jacklyn,Rosen,D,NV,Yea
473,H.R. 3935,Mike,Rounds,R,SD,Yea
474,H.R. 3935,Marco,Rubio,R,FL,Yea
475,H.R. 3935,Bernard,Sanders,I,VT,Yea
476,H.R. 3935,Brian,Schatz,D,HI,Yea
477,H.R. 3935,Eric ,Schmitt,R,MO,Nay
478,H.R. 3935,Charles,Schumer,D,NY,Yea
479,H.R. 3935,Rick,Scott,R,FL,Not Voting
480,H.R. 3935,Tim,Scott,R,SC,Yea
481,H.R. 3935,Jeanne,Shaheen,D,NH,Yea
482,H.R. 3935,Kyrsten,Sinema,I,AZ,Not Voting
483,H.R. 3935,Tina,Smith,D,MN,Yea
484,H.R. 3935,Debbie,Stabenow,D,MI,Yea
485,H.R. 3935,Dan,Sullivan,R,AK,Yea
486,H.R. 3935,Jon,Tester,D,MT,Yea
487,H.R. 3935,John,Thune,R,SD,Yea
488,H.R. 3935,Thomas,Tillis,R,NC,Yea
489,H.R. 3935,Tommy,Tuberville,R,AL,Yea
490,H.R. 3935,Chris,Van Hollen,D,MD,Nay
491,H.R. 3935,J.,Vance,R,OH,Nay
492,H.R. 3935,Mark,Warner,D,VA,Nay
493,H.R. 3935,Raphael,Warnock,D,GA,Yea
494,H.R. 3935,Elizabeth,Warren,D,MA,Yea
495,H.R. 3935,Peter,Welch,D,VT,Yea
496,H.R. 3935,Sheldon,Whitehouse,D,RI,Yea
497,H.R. 3935,Roger,Wicker,R,MS,Yea
498,H.R. 3935,Ron,Wyden,D,OR,Yea
499,H.R. 3935,Todd,Young,R,IN,Yea
500,H.R. 3935,Tammy,Baldwin,D,WI,Nay
501,H.R. 3935,John,Barrasso,R,WY,Nay
502,H.R. 3935,Michael,Bennet,D,CO,Nay
503,H.R. 3935,Marsha,Blackburn,R,TN,Nay
504,H.R. 3935,Richard,Blumenthal,D,CT,Nay
505,H.R. 3935,Cory,Booker,D,NJ,Nay
506,H.R. 3935,John,Boozman,R,AR,Nay
507,H.R. 3935,Mike,Braun,R,IN,Not Voting
508,H.R. 3935,Katie,Britt,R,AL,Nay
509,H.R. 3935,Sherrod ,Brown,D,OH,Nay
510,H.R. 3935,Ted,Budd,R,NC,Nay
511,H.R. 3935,Laphonza,Butler,D,CA,Nay
512,H.R. 3935,Maria,Cantwell,D,WA,Nay
513,H.R. 3935,Shelley,Capito,R,WV,Nay
514,H.R. 3935,Ben,Cardin,D,MD,Nay
515,H.R. 3935,Thomas,Carper,D,DE,Nay
516,H.R. 3935,Bob,Casey,D,PA,Nay
517,H.R. 3935,Bill,Cassidy,R,LA,Yea
518,H.R. 3935,Susan,Collins,R,ME,Nay
519,H.R. 3935,Christopher,Coons,D,DE,Nay
520,H.R. 3935,John,Cornyn,R,TX,Yea
521,H.R. 3935,Catherine,Cortez Masto,D,NV,Nay
522,H.R. 3935,Tom,Cotton,R,AR,Nay
523,H.R. 3935,Kevin,Cramer,R,ND,Nay
524,H.R. 3935,Mike,Crapo,R,ID,Nay
525,H.R. 3935,Ted,Cruz,R,TX,Nay
526,H.R. 3935,Steve,Daines,R,MT,Nay
527,H.R. 3935,Tammy,Duckworth,D,IL,Nay
528,H.R. 3935,Richard,Durbin,D,IL,Nay
529,H.R. 3935,Joni,Ernst,R,IA,Yea
530,H.R. 3935,John,Fetterman,D,PA,Nay
531,H.R. 3935,Deb,Fischer,R,NE,Nay
532,H.R. 3935,Kirsten,Gillibrand,D,NY,Nay
533,H.R. 3935,Lindsey,Graham,R,SC,Nay
534,H.R. 3935,Chuck,Grassley,R,IA,Nay
535,H.R. 3935,Bill,Hagerty,R,TN,Nay
536,H.R. 3935,Maggie,Hassan,D,NH,Nay
537,H.R. 3935,Josh,Hawley,R,MO,Yea
538,H.R. 3935,Martin,Heinrich,D,NM,Nay
539,H.R. 3935,John,Hickenlooper,D,CO,Nay
540,H.R. 3935,Mazie,Hirono,D,HI,Nay
541,H.R. 3935,John,Hoeven,R,ND,Nay
542,H.R. 3935,Cindy,Hyde-Smith,R,MS,Nay
543,H.R. 3935,Ron,Johnson,R,WI,Yea
544,H.R. 3935,Timothy,Kaine,D,VA,Nay
545,H.R. 3935,Mark,Kelly,D,AZ,Nay
546,H.R. 3935,John,Kennedy,R,LA,Yea
547,H.R. 3935,Angus,King,I,ME,Nay
548,H.R. 3935,Amy,Klobuchar,D,MN,Nay
549,H.R. 3935,James,Lankford,R,OK,Nay
550,H.R. 3935,Mike,Lee,R,UT,Yea
551,H.R. 3935,Ben,Lujan,D,NM,Nay
552,H.R. 3935,Cynthia,Lummis,R,WY,Nay
553,H.R. 3935,Joseph,Manchin,D,WV,Nay
554,H.R. 3935,Edward,Markey,D,MA,Nay
555,H.R. 3935,Roger,Marshall,R,KS,Yea
556,H.R. 3935,Mitch,McConnell,R,KY,Nay
557,H.R. 3935,Robert,Menendez,D,NJ,Nay
558,H.R. 3935,Jeff,Merkley,D,OR,Nay
559,H.R. 3935,Jerry,Moran,R,KS,Nay
560,H.R. 3935,Markwayne,Mullin,R,OK,Nay
561,H.R. 3935,Lisa,Murkowski,R,AK,Nay
562,H.R. 3935,Christopher,Murphy,D,CT,Nay
563,H.R. 3935,Patty,Murray,D,WA,Nay
564,H.R. 3935,Jon,Ossoff,D,GA,Nay
565,H.R. 3935,Alex,Padilla,D,CA,Nay
566,H.R. 3935,Rand,Paul,R,KY,Nay
567,H.R. 3935,Gary,Peters,D,MI,Nay
568,H.R. 3935,John,Reed,D,RI,Nay
569,H.R. 3935,Pete,Ricketts,R,NE,Nay
570,H.R. 3935,James ,Risch,R,ID,Nay
571,H.R. 3935,Mitt,Romney,R,UT,Nay
572,H.R. 3935,Jacklyn,Rosen,D,NV,Nay
573,H.R. 3935,Mike,Rounds,R,SD,Nay
574,H.R. 3935,Marco,Rubio,R,FL,Nay
575,H.R. 3935,Bernard,Sanders,I,VT,Nay
576,H.R. 3935,Brian,Schatz,D,HI,Nay
577,H.R. 3935,Eric ,Schmitt,R,MO,Yea
578,H.R. 3935,Charles,Schumer,D,NY,Nay
579,H.R. 3935,Rick,Scott,R,FL,Yea
580,H.R. 3935,Tim,Scott,R,SC,Nay
581,H.R. 3935,Jeanne,Shaheen,D,NH,Nay
582,H.R. 3935,Kyrsten,Sinema,I,AZ,Not Voting
583,H.R. 3935,Tina,Smith,D,MN,Nay
584,H.R. 3935,Debbie,Stabenow,D,MI,Nay
585,H.R. 3935,Dan,Sullivan,R,AK,Yea
586,H.R. 3935,Jon,Tester,D,MT,Nay
587,H.R. 3935,John,Thune,R,SD,Nay
588,H.R. 3935,Thomas,Tillis,R,NC,Nay
589,H.R. 3935,Tommy,Tuberville,R,AL,Not Voting
590,H.R. 3935,Chris,Van Hollen,D,MD,Nay
591,H.R. 3935,J.,Vance,R,OH,Yea
592,H.R. 3935,Mark,Warner,D,VA,Nay
593,H.R. 3935,Raphael,Warnock,D,GA,Nay
594,H.R. 3935,Elizabeth,Warren,D,MA,Nay
595,H.R. 3935,Peter,Welch,D,VT,Nay
596,H.R. 3935,Sheldon,Whitehouse,D,RI,Nay
597,H.R. 3935,Roger,Wicker,R,MS,Nay
598,H.R. 3935,Ron,Wyden,D,OR,Nay
599,H.R. 3935,Todd,Young,R,IN,Nay
600,H.R. 3935,Tammy,Baldwin,D,WI,Yea
601,H.R. 3935,John,Barrasso,R,WY,Yea
602,H.R. 3935,Michael,Bennet,D,CO,Yea
603,H.R. 3935,Marsha,Blackburn,R,TN,Yea
604,H.R. 3935,Richard,Blumenthal,D,CT,Yea
605,H.R. 3935,Cory,Booker,D,NJ,Not Voting
606,H.R. 3935,John,Boozman,R,AR,Yea
607,H.R. 3935,Mike,Braun,R,IN,Yea
608,H.R. 3935,Katie,Britt,R,AL,Yea
609,H.R. 3935,Sherrod ,Brown,D,OH,Yea
610,H.R. 3935,Ted,Budd,R,NC,Yea
611,H.R. 3935,Laphonza,Butler,D,CA,Yea
612,H.R. 3935,Maria,Cantwell,D,WA,Yea
613,H.R. 3935,Shelley,Capito,R,WV,Yea
614,H.R. 3935,Ben,Cardin,D,MD,Nay
615,H.R. 3935,Thomas,Carper,D,DE,Yea
616,H.R. 3935,Bob,Casey,D,PA,Yea
617,H.R. 3935,Bill,Cassidy,R,LA,Nay
618,H.R. 3935,Susan,Collins,R,ME,Yea
619,H.R. 3935,Christopher,Coons,D,DE,Yea
620,H.R. 3935,John,Cornyn,R,TX,Yea
621,H.R. 3935,Catherine,Cortez Masto,D,NV,Yea
622,H.R. 3935,Tom,Cotton,R,AR,Yea
623,H.R. 3935,Kevin,Cramer,R,ND,Not Voting
624,H.R. 3935,Mike,Crapo,R,ID,Yea
625,H.R. 3935,Ted,Cruz,R,TX,Yea
626,H.R. 3935,Steve,Daines,R,MT,Yea
627,H.R. 3935,Tammy,Duckworth,D,IL,Yea
628,H.R. 3935,Richard,Durbin,D,IL,Yea
629,H.R. 3935,Joni,Ernst,R,IA,Yea
630,H.R. 3935,John,Fetterman,D,PA,Yea
631,H.R. 3935,Deb,Fischer,R,NE,Yea
632,H.R. 3935,Kirsten,Gillibrand,D,NY,Yea
633,H.R. 3935,Lindsey,Graham,R,SC,Yea
634,H.R. 3935,Chuck,Grassley,R,IA,Yea
635,H.R. 3935,Bill,Hagerty,R,TN,Yea
636,H.R. 3935,Maggie,Hassan,D,NH,Yea
637,H.R. 3935,Josh,Hawley,R,MO,Nay
638,H.R. 3935,Martin,Heinrich,D,NM,Yea
639,H.R. 3935,John,Hickenlooper,D,CO,Yea
640,H.R. 3935,Mazie,Hirono,D,HI,Yea
641,H.R. 3935,John,Hoeven,R,ND,Yea
642,H.R. 3935,Cindy,Hyde-Smith,R,MS,Yea
643,H.R. 3935,Ron,Johnson,R,WI,Not Voting
644,H.R. 3935,Timothy,Kaine,D,VA,Nay
645,H.R. 3935,Mark,Kelly,D,AZ,Not Voting
646,H.R. 3935,John,Kennedy,R,LA,Nay
647,H.R. 3935,Angus,King,I,ME,Yea
648,H.R. 3935,Amy,Klobuchar,D,MN,Yea
649,H.R. 3935,James,Lankford,R,OK,Yea
650,H.R. 3935,Mike,Lee,R,UT,Nay
651,H.R. 3935,Ben,Lujan,D,NM,Yea
652,H.R. 3935,Cynthia,Lummis,R,WY,Yea
653,H.R. 3935,Joseph,Manchin,D,WV,Yea
654,H.R. 3935,Edward,Markey,D,MA,Yea
655,H.R. 3935,Roger,Marshall,R,KS,Yea
656,H.R. 3935,Mitch,McConnell,R,KY,Yea
657,H.R. 3935,Robert,Menendez,D,NJ,Not Voting
658,H.R. 3935,Jeff,Merkley,D,OR,Yea
659,H.R. 3935,Jerry,Moran,R,KS,Yea
660,H.R. 3935,Markwayne,Mullin,R,OK,Yea
661,H.R. 3935,Lisa,Murkowski,R,AK,Yea
